"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","St. John's (CY), Newfoundland and Labrador","2016A00051001519","Persons","249","units","0","v1138979108","3","112000","","","","0"
"2021","St. John's (CY), Newfoundland and Labrador","2016A00051001519","Persons","249","units","0","v1138979108","3","112063","","","","0"
"2020","Conception Bay South (T), Newfoundland and Labrador","2016A00051001485","Persons","249","units","0","v1138979109","4","27282","","","","0"
"2021","Conception Bay South (T), Newfoundland and Labrador","2016A00051001485","Persons","249","units","0","v1138979109","4","27345","","","","0"
"2020","Mount Pearl (CY), Newfoundland and Labrador","2016A00051001542","Persons","249","units","0","v1138979110","5","23006","","","","0"
"2021","Mount Pearl (CY), Newfoundland and Labrador","2016A00051001542","Persons","249","units","0","v1138979110","5","22672","","","","0"
"2020","Paradise (T), Newfoundland and Labrador","2016A00051001517","Persons","249","units","0","v1138979111","6","22936","","","","0"
"2021","Paradise (T), Newfoundland and Labrador","2016A00051001517","Persons","249","units","0","v1138979111","6","23180","","","","0"
"2020","Corner Brook (CY), Newfoundland and Labrador","2016A00051005018","Persons","249","units","0","v1138979112","7","19251","","","","0"
"2021","Corner Brook (CY), Newfoundland and Labrador","2016A00051005018","Persons","249","units","0","v1138979112","7","19037","","","","0"
"2020","Grand Falls-Windsor (T), Newfoundland and Labrador","2016A00051006017","Persons","249","units","0","v1138979113","8","14078","","","","0"
"2021","Grand Falls-Windsor (T), Newfoundland and Labrador","2016A00051006017","Persons","249","units","0","v1138979113","8","14054","","","","0"
"2020","Gander (T), Newfoundland and Labrador","2016A00051006009","Persons","249","units","0","v1138979114","9","12032","","","","0"
"2021","Gander (T), Newfoundland and Labrador","2016A00051006009","Persons","249","units","0","v1138979114","9","12064","","","","0"
"2020","Portugal Cove-St. Philip's (T), Newfoundland and Labrador","2016A00051001504","Persons","249","units","0","v1138979115","10","8557","","","","0"
"2021","Portugal Cove-St. Philip's (T), Newfoundland and Labrador","2016A00051001504","Persons","249","units","0","v1138979115","10","8888","","","","0"
"2020","Happy Valley-Goose Bay (T), Newfoundland and Labrador","2016A00051010025","Persons","249","units","0","v1138979116","11","8155","","","","0"
"2021","Happy Valley-Goose Bay (T), Newfoundland and Labrador","2016A00051010025","Persons","249","units","0","v1138979116","11","8151","","","","0"
"2020","Torbay (T), Newfoundland and Labrador","2016A00051001509","Persons","249","units","0","v1138979117","12","8128","","","","0"
"2021","Torbay (T), Newfoundland and Labrador","2016A00051001509","Persons","249","units","0","v1138979117","12","8099","","","","0"
"2020","Labrador City (T), Newfoundland and Labrador","2016A00051010032","Persons","249","units","0","v1138979118","13","7362","","","","0"
"2021","Labrador City (T), Newfoundland and Labrador","2016A00051010032","Persons","249","units","0","v1138979118","13","7474","","","","0"
"2020","Stephenville (T), Newfoundland and Labrador","2016A00051004019","Persons","249","units","0","v1138979119","14","6520","","","","0"
"2021","Stephenville (T), Newfoundland and Labrador","2016A00051004019","Persons","249","units","0","v1138979119","14","6535","","","","0"
"2020","Clarenville (T), Newfoundland and Labrador","2016A00051007013","Persons","249","units","0","v1138979120","15","6753","","","","0"
"2021","Clarenville (T), Newfoundland and Labrador","2016A00051007013","Persons","249","units","0","v1138979120","15","6939","","","","0"
"2020","Bay Roberts (T), Newfoundland and Labrador","2016A00051001409","Persons","249","units","0","v1138979121","16","6037","","","","0"
"2021","Bay Roberts (T), Newfoundland and Labrador","2016A00051001409","Persons","249","units","0","v1138979121","16","6047","","","","0"
"2020","Marystown (T), Newfoundland and Labrador","2016A00051002024","Persons","249","units","0","v1138979122","17","5078","","","","0"
"2021","Marystown (T), Newfoundland and Labrador","2016A00051002024","Persons","249","units","0","v1138979122","17","5005","","","","0"
"2020","Deer Lake (T), Newfoundland and Labrador","2016A00051005004","Persons","249","units","0","v1138979123","18","5283","","","","0"
