"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v1138979106","1","521364","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v1138979106","1","520553","","","","0"
"2020","Prince Edward Island","2016A000211","Persons","249","units","0","v1138979481","376","161329","","","","0"
"2021","Prince Edward Island","2016A000211","Persons","249","units","0","v1138979481","376","164318","","","","0"
"2020","Nova Scotia","2016A000212","Persons","249","units","0","v1138979596","491","981889","","","","0"
"2021","Nova Scotia","2016A000212","Persons","249","units","0","v1138979596","491","992055","","","","0"
"2020","New Brunswick","2016A000213","Persons","249","units","0","v1138979695","590","783204","","","","0"
"2021","New Brunswick","2016A000213","Persons","249","units","0","v1138979695","590","789225","","","","0"
"2020","Quebec","2016A000224","Persons","249","units","0","v1138979971","866","8578300","","","","0"
"2021","Quebec","2016A000224","Persons","249","units","0","v1138979971","866","8604495","","","","0"
"2020","Ontario","2016A000235","Persons","249","units","0","v1138981259","2154","14745712","","","","0"
"2021","Ontario","2016A000235","Persons","249","units","0","v1138981259","2154","14826276","","","","0"
"2020","Manitoba","2016A000246","Persons","249","units","0","v1138981837","2732","1380648","","","","0"
"2021","Manitoba","2016A000246","Persons","249","units","0","v1138981837","2732","1383765","","","","0"
"2020","Saskatchewan","2016A000247","Persons","249","units","0","v1138982069","2964","1179300","","","","0"
"2021","Saskatchewan","2016A000247","Persons","249","units","0","v1138982069","2964","1179844","","","","0"
"2020","Alberta","2016A000248","Persons","249","units","0","v1138983022","3917","4420029","","","","0"
"2021","Alberta","2016A000248","Persons","249","units","0","v1138983022","3917","4442879","","","","0"
"2020","British Columbia","2016A000259","Persons","249","units","0","v1138983450","4345","5158728","","","","0"
"2021","British Columbia","2016A000259","Persons","249","units","0","v1138983450","4345","5214805","","","","0"
"2020","Yukon","2016A000260","Persons","249","units","0","v1138984190","5085","","..","","","0"
"2021","Yukon","2016A000260","Persons","249","units","0","v1138984190","5085","","..","","","0"
"2020","Northwest Territories","2016A000261","Persons","249","units","0","v1138984229","5124","","..","","","0"
"2021","Northwest Territories","2016A000261","Persons","249","units","0","v1138984229","5124","","..","","","0"
"2020","Nunavut","2016A000262","Persons","249","units","0","v1138984273","5168","39155","","","","0"
"2021","Nunavut","2016A000262","Persons","249","units","0","v1138984273","5168","39403","","","","0"


